"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"OpenMx","OpenMx","C:/Program Files/R/R-4.2.3/library","2.21.8",NA,"R (>= 3.5.0)","digest, MASS, Matrix (>= 1.2-16), methods, Rcpp, RcppParallel,
parallel, lifecycle","Rcpp, RcppEigen, RcppParallel, StanHeaders (>= 2.10.0.2), BH
(>= 1.69.0-1), rpf (>= 0.45)","mvtnorm, numDeriv, roxygen2 (>= 6.1), rpf (>= 0.45),
snowfall, lme4, covr, testthat, umx, ifaTools, knitr, markdown,
rmarkdown, reshape2, ggplot2",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.2.3"
"openssl","openssl","C:/Program Files/R/R-4.2.3/library","2.0.6",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"openxlsx","openxlsx","C:/Program Files/R/R-4.2.3/library","4.2.5.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"optimx","optimx","C:/Program Files/R/R-4.2.3/library","2022-4.30",NA,NA,"numDeriv",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"optmatch","optmatch","C:/Program Files/R/R-4.2.3/library","0.10.6",NA,"R (>= 3.5.0)","Rcpp, dplyr, stats, tibble, methods, graphics, rlemon","Rcpp","RItools, boot, biglm, survey, testthat (>= 0.11.0), roxygen2,
brglm, arm, knitr, rmarkdown, markdown, pander, xtable,
rrelaxiv, magrittr","CBPS, haven","MIT + file LICENSE","yes","no",NA,NA,"yes","4.2.3"
"ordinal","ordinal","C:/Program Files/R/R-4.2.3/library","2022.11-16",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"packrat","packrat","C:/Program Files/R/R-4.2.3/library","0.9.1",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"pacman","pacman","C:/Program Files/R/R-4.2.3/library","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"padr","padr","C:/Program Files/R/R-4.2.3/library","0.6.2",NA,"R (>= 3.0.0)","Rcpp, dplyr (>= 1.0.0), lubridate, rlang","Rcpp","ggplot2, testthat, knitr, rmarkdown, lazyeval, tidyr,
data.table",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"palmerpenguins","palmerpenguins","C:/Program Files/R/R-4.2.3/library","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.2.3"
"pan","pan","C:/Program Files/R/R-4.2.3/library","1.6",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,"no",NA,NA,"yes","4.2.3"
"pander","pander","C:/Program Files/R/R-4.2.3/library","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"PanelMatch","PanelMatch","C:/Program Files/R/R-4.2.3/library","2.0.1",NA,"R (>= 2.14.0)","Rcpp (>= 0.12.5), data.table, ggplot2, CBPS, stats, graphics,
grDevices, MASS, Matrix, igraph, methods","RcppArmadillo, Rcpp, RcppEigen","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.3"
"parallel","parallel","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"parallelly","parallelly","C:/Program Files/R/R-4.2.3/library","1.35.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3"
"parameters","parameters","C:/Program Files/R/R-4.2.3/library","0.20.2",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), datawizard (>= 0.6.5), insight (>=
0.18.8), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor, BayesFM, bbmle, betareg, biglm,
blme, boot, brglm2, brms, broom, cAIC4, car, cgam,
ClassDiscovery, clubSandwich, cluster, cplm, dbscan, domir (>=
0.2.0), drc, DRR, effectsize (>= 0.8.2), EGAnet (>= 0.7),
emmeans (>= 1.7.0), factoextra, FactoMineR, fastICA, fixest,
fpc, gam, gamlss, gee, geepack, ggplot2, GLMMadaptive, glmmTMB,
GPArotation, gt, haven, httr, Hmisc, ivprobit, ivreg, knitr,
lavaan, lavaSearch2, lfe, lm.beta, lme4, lmerTest, lmtest,
logspline, lqmm, M3C, marginaleffects, MASS, Matrix, mclust,
MCMCglmm, mediation, merDeriv, metaBMA, metafor, mfx, mgcv,
mice, mmrm, multcomp, MuMIn, NbClust, nFactors, nlme, nnet,
openxlsx, ordinal, panelr, pbkrtest, PCDimension, performance
(>= 0.10.1), plm, PMCMRplus, poorman, posterior, PROreg, pscl,
psych, pvclust, quantreg, randomForest, rmarkdown, rms,
rstanarm, sandwich, see (>= 0.7.4), sparsepca, survey,
survival, testthat, tidyselect, TMB, truncreg, VGAM, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"parsedate","parsedate","C:/Program Files/R/R-4.2.3/library","1.3.1",NA,NA,NA,NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"parsnip","parsnip","C:/Program Files/R/R-4.2.3/library","1.1.0",NA,"R (>= 3.5)","cli, dplyr (>= 1.1.0), generics (>= 0.1.2), ggplot2, globals,
glue, hardhat (>= 1.1.0), lifecycle, magrittr, pillar,
prettyunits, purrr (>= 1.0.0), rlang (>= 0.3.1), stats, tibble
(>= 2.1.1), tidyr (>= 1.3.0), utils, vctrs (>= 0.6.0), withr",NA,"C50, covr, dials (>= 1.1.0), earth, ggrepel, keras, kernlab,
kknn, knitr, LiblineaR, MASS, Matrix, mgcv, modeldata, nlme,
prodlim, ranger (>= 0.12.0), remotes, rmarkdown, rpart,
sparklyr (>= 1.0.0), survival, tensorflow, testthat (>= 3.0.0),
xgboost (>= 1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pbapply","pbapply","C:/Program Files/R/R-4.2.3/library","1.7-0",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"pbivnorm","pbivnorm","C:/Program Files/R/R-4.2.3/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"pbkrtest","pbkrtest","C:/Program Files/R/R-4.2.3/library","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"pdftools","pdftools","C:/Program Files/R/R-4.2.3/library","3.3.3",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"performance","performance","C:/Program Files/R/R-4.2.3/library","0.10.2",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.18.8), datawizard (>=
0.6.5), methods, stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, CompQuadForm, correlation, cplm,
dbscan, estimatr, fixest, forecast, gamm4, ggplot2, glmmTMB,
graphics, Hmisc, httr, ICS, ICSOutlier, ISLR, lavaan, lme4,
lmtest, loo, MASS, Matrix, mclust, metafor, mgcv, mlogit,
multimode, nlme, nonnest2, ordinal, parallel, parameters,
patchwork, poorman, pscl, psych, randomForest, rmarkdown,
rstanarm, rstantools, sandwich, see (>= 0.7.4), survey,
survival, testthat, tweedie, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"PerformanceAnalytics","PerformanceAnalytics","C:/Program Files/R/R-4.2.3/library","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"permute","permute","C:/Program Files/R/R-4.2.3/library","0.9-7",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel, knitr,
rmarkdown, bookdown, sessioninfo",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"philentropy","philentropy","C:/Program Files/R/R-4.2.3/library","0.7.0",NA,"R (>= 3.1.2)","Rcpp, KernSmooth, poorman","Rcpp","testthat, knitr, rmarkdown, microbenchmark",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"pillar","pillar","C:/Program Files/R/R-4.2.3/library","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pingr","pingr","C:/Program Files/R/R-4.2.3/library","2.0.2",NA,NA,"processx, utils",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pkgbuild","pkgbuild","C:/Program Files/R/R-4.2.3/library","1.4.0",NA,"R (>= 3.4)","callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot, withr (>= 2.3.0)",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgconfig","pkgconfig","C:/Program Files/R/R-4.2.3/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgdown","pkgdown","C:/Program Files/R/R-4.2.3/library","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgload","pkgload","C:/Program Files/R/R-4.2.3/library","1.3.2",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, rlang (>=
1.0.3), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, pkgbuild, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"plm","plm","C:/Program Files/R/R-4.2.3/library","2.6-2",NA,"R (>= 3.2.0)","MASS, bdsmatrix, collapse (>= 1.8.0), zoo, nlme, sandwich,
lattice, lmtest, maxLik, Rdpack, Formula, stats",NA,"AER, car, statmod, urca, pder, texreg, knitr, rmarkdown,
fixest, lfe",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"plogr","plogr","C:/Program Files/R/R-4.2.3/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plotly","plotly","C:/Program Files/R/R-4.2.3/library","4.10.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plotlyGeoAssets","plotlyGeoAssets","C:/Program Files/R/R-4.2.3/library","0.0.2",NA,"R (>= 2.10)",NA,NA,"testthat, htmltools","plotly","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plotrix","plotrix","C:/Program Files/R/R-4.2.3/library","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"plyr","plyr","C:/Program Files/R/R-4.2.3/library","1.8.8",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"png","png","C:/Program Files/R/R-4.2.3/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"polyclip","polyclip","C:/Program Files/R/R-4.2.3/library","1.10-4",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.2.1"
"polycor","polycor","C:/Program Files/R/R-4.2.3/library","0.8-1",NA,"R (>= 3.3.0)","stats, mvtnorm, Matrix, parallel, admisc (>= 0.22)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"polynom","polynom","C:/Program Files/R/R-4.2.3/library","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"poorman","poorman","C:/Program Files/R/R-4.2.3/library","0.2.6",NA,"R (>= 3.3)",NA,NA,"knitr, pkgdown, markdown, rmarkdown, roxygen2, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ppsr","ppsr","C:/Program Files/R/R-4.2.3/library","0.0.2",NA,NA,"ggplot2 (>= 3.3.3), parsnip (>= 0.1.5), rpart (>= 4.1.15),
withr (>= 2.4.1), gridExtra (>= 2.3), parallel (>= 4.0.3)",NA,"testthat (>= 2.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"prabclus","prabclus","C:/Program Files/R/R-4.2.3/library","2.3-2",NA,"R (>= 2.10), MASS, mclust",NA,NA,"spdep, spatialreg, bootstrap, maptools, foreign, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"pracma","pracma","C:/Program Files/R/R-4.2.3/library","2.4.2",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"praise","praise","C:/Program Files/R/R-4.2.3/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"prediction","prediction","C:/Program Files/R/R-4.2.3/library","0.3.14",NA,"R (>= 3.5.0)","utils, stats, data.table",NA,"datasets, methods, testthat","AER, aod, betareg, biglm, brglm, caret, crch, e1071, earth,
ff, ffbase, gam (>= 1.15), gee, glmnet, glmx, kernlab, lme4,
MASS, mclogit, mda, mlogit, MNP, nlme, nnet, ordinal, plm,
pscl, quantreg, rpart, sampleSelection, speedglm, survey (>=
3.31-5), survival, truncreg, VGAM","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"prettydoc","prettydoc","C:/Program Files/R/R-4.2.3/library","0.4.1",NA,NA,"rmarkdown (>= 1.17)",NA,"knitr, KernSmooth",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.2.3"
"prettyunits","prettyunits","C:/Program Files/R/R-4.2.3/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"primes","primes","C:/Program Files/R/R-4.2.3/library","1.4.0",NA,"R (>= 2.10)","Rcpp","Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"processx","processx","C:/Program Files/R/R-4.2.3/library","3.8.0",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.0), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"prodlim","prodlim","C:/Program Files/R/R-4.2.3/library","2023.03.31",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"profileR","profileR","C:/Program Files/R/R-4.2.3/library","0.3-5",NA,"ggplot2, RColorBrewer, reshape, lavaan, R (>= 3.0.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"profvis","profvis","C:/Program Files/R/R-4.2.3/library","0.3.7",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"progress","progress","C:/Program Files/R/R-4.2.3/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"progressr","progressr","C:/Program Files/R/R-4.2.3/library","0.13.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"promises","promises","C:/Program Files/R/R-4.2.3/library","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"proxy","proxy","C:/Program Files/R/R-4.2.3/library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"ps","ps","C:/Program Files/R/R-4.2.3/library","1.7.3",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0),",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pscl","pscl","C:/Program Files/R/R-4.2.3/library","1.5.5.1",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"psych","psych","C:/Program Files/R/R-4.2.3/library","2.3.3",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"purrr","purrr","C:/Program Files/R/R-4.2.3/library","1.0.1",NA,"R (>= 3.4.0)","cli (>= 3.4.0), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 0.4.10), vctrs (>= 0.5.0)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"purrrlyr","purrrlyr","C:/Program Files/R/R-4.2.3/library","0.0.8",NA,NA,"dplyr (>= 0.8.0), magrittr (>= 1.5), purrr (>= 0.2.2), Rcpp","Rcpp","covr, testthat (>= 3.0.0)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pzfx","pzfx","C:/Program Files/R/R-4.2.3/library","0.3.0",NA,NA,"xml2 (>= 1.2.0)",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"qgraph","qgraph","C:/Program Files/R/R-4.2.3/library","1.9.5",NA,"R (>= 3.0.0)","Rcpp (>= 1.0.0), methods, grDevices, psych, lavaan, plyr,
Hmisc, igraph, jpeg, png, colorspace, Matrix, corpcor,
reshape2, ggplot2, glasso, fdrtool, gtools, parallel, pbapply,
abind","Rcpp","BDgraph, huge",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"qpdf","qpdf","C:/Program Files/R/R-4.2.3/library","1.3.2",NA,NA,"Rcpp, askpass, curl","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.2.3"
"qrng","qrng","C:/Program Files/R/R-4.2.3/library","0.0-9",NA,"R (>= 3.0.0)","utils",NA,"randtoolbox, copula","","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"quadprog","quadprog","C:/Program Files/R/R-4.2.3/library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"Quandl","Quandl","C:/Program Files/R/R-4.2.3/library","2.11.0",NA,"R (>= 2.15.0), xts","httr (>= 0.6.1), zoo, jsonlite (>= 0.9.14)",NA,"testthat (>= 0.10.0), roxygen2, timeSeries",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"quantmod","quantmod","C:/Program Files/R/R-4.2.3/library","0.4.22",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl, jsonlite(>= 1.1)",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"quantreg","quantreg","C:/Program Files/R/R-4.2.3/library","5.94",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"tripack, interp, rgl, logspline, nor1mix, Formula, zoo,
R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"questionr","questionr","C:/Program Files/R/R-4.2.3/library","0.7.8",NA,"R (>= 3.5.0)","shiny (>= 1.0.5), miniUI, rstudioapi, highr, styler, classInt,
htmltools, graphics, stats, utils, rlang, labelled (>= 2.6.0)",NA,"testthat, roxygen2, dplyr, ggplot2, tidyr, janitor, forcats,
knitr, rmarkdown, survey, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"R.cache","R.cache","C:/Program Files/R/R-4.2.3/library","0.16.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3"
"R.methodsS3","R.methodsS3","C:/Program Files/R/R-4.2.3/library","1.8.2",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.2"
"R.oo","R.oo","C:/Program Files/R/R-4.2.3/library","1.25.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.1)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.2"
"R.utils","R.utils","C:/Program Files/R/R-4.2.3/library","2.12.2",NA,"R (>= 2.14.0), R.oo","methods, utils, tools, R.methodsS3",NA,"datasets, digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3"
"R6","R6","C:/Program Files/R/R-4.2.3/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ragg","ragg","C:/Program Files/R/R-4.2.3/library","1.2.5",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, graphics, grid, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"randomForest","randomForest","C:/Program Files/R/R-4.2.3/library","4.7-1.1",NA,"R (>= 4.1.0), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"randtoolbox","randtoolbox","C:/Program Files/R/R-4.2.3/library","2.0.4",NA,"rngWELL (>= 0.10-1)",NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.2"
"ranger","ranger","C:/Program Files/R/R-4.2.3/library","0.15.1",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"rappdirs","rappdirs","C:/Program Files/R/R-4.2.3/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"rbenchmark","rbenchmark","C:/Program Files/R/R-4.2.3/library","1.0.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.2.0"
"rbibutils","rbibutils","C:/Program Files/R/R-4.2.3/library","2.2.13",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"rcmdcheck","rcmdcheck","C:/Program Files/R/R-4.2.3/library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
